country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Ireland,2015,IRL,4702497,249955928768,6.999,0.093,301.775,1.419,102.073,0.480,1.711,0.822,441.000,9.054,2.117,5423.800,25.505,1035.620,4.870,,0.000,0.000,0.000,17.362,14.769,28.720,6107.394,28.050,17.491,5.688,9.360,36983.117,0.696,3.726,5.428,4293.464,20.190,32130.449,151.093,71.979,87.494,1.111,0.481,43.764,2647.530,12.450,9306.479,-12.642,-0.201,294.947,1.387,44.385,25.342,12.370,13.806,0.239,2.042,172.249,0.810,434.184,2.888,1.182,20.284,3.708,21.597,1671.452,7.860,4592.599,28.021,12.506,0.670,2.333,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.582,2.830,81.824,610.314,2.870,17400.170,,0.000,0.000,0.000,10.232,47.382,1.488,0.480,0.000,-11.190,-0.188,102.073,0.000,316.482,1.711,0.000,0.862,5964.916,173.913,20.284,3.708,21.597,1671.452,7.860,4592.599,28.021,12.506,70.851,0.002,0.004,0.000,0.000,0.870,0.000,0.002,27.878,3.562,16.643,1397.130,6.570,3539.289,23.422,9.638
Ireland,2016,IRL,4753506,255118282428,-8.038,-0.114,274.538,1.305,143.052,0.680,2.252,0.722,444.040,-3.925,-1.001,5155.018,24.504,988.744,4.700,,0.000,0.000,0.000,15.563,13.559,29.490,6203.842,30.200,17.903,4.598,7.996,38268.473,0.713,5.811,8.779,4773.319,22.690,33632.602,159.873,75.132,88.463,12.437,5.443,49.207,3227.092,15.340,10351.629,2224.981,30.860,6783.877,32.247,50.795,27.228,13.410,-15.557,-0.331,1.711,143.052,0.680,359.970,2.252,0.947,-3.870,-0.746,20.850,1579.887,7.510,4386.334,24.868,11.537,-0.710,-2.408,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.301,4.338,86.162,557.483,2.650,18125.953,,0.000,0.000,0.000,8.775,47.676,2.123,0.680,0.000,42.620,0.634,143.052,0.000,446.523,2.252,0.000,1.174,6353.206,181.909,-3.870,-0.746,20.850,1579.887,7.510,4386.334,24.868,11.537,192.957,0.008,0.012,0.000,0.000,2.503,0.000,0.007,-4.953,-0.944,15.700,1293.782,6.150,3302.799,20.364,8.687
Ireland,2017,IRL,4810258,266528546717,42.668,0.557,387.057,1.862,153.838,0.740,2.414,1.027,405.740,-14.854,-3.640,4337.497,20.864,756.716,3.640,,,,,11.872,11.505,29.980,6232.514,30.660,18.331,0.451,0.821,37987.566,0.686,-2.100,-3.357,4527.824,21.780,32537.975,156.516,71.037,86.308,1.996,0.982,50.189,3259.700,15.680,10433.704,,,,,51.142,27.676,12.440,1.553,0.018,1.729,143.443,0.690,359.442,2.250,0.953,21.832,3.980,24.831,1846.055,8.880,5162.070,28.963,13.692,-0.680,-2.268,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.811,-0.699,85.463,511.407,2.460,17766.773,,,,,8.023,47.127,2.298,0.740,0.000,8.249,0.175,153.838,0.000,477.656,2.414,0.000,1.267,6373.878,182.730,21.832,3.980,24.831,1846.055,8.880,5162.070,28.963,13.692,110.114,0.013,0.025,2.079,0.010,5.172,0.033,0.014,21.100,3.218,18.918,1546.695,7.440,3932.743,24.266,10.432
Ireland,2018,IRL,4872559,282500483309,-3.998,-0.074,366.831,1.787,174.446,0.850,2.751,0.965,364.080,-21.373,-4.459,3366.824,16.405,441.247,2.150,,,,,6.958,8.854,30.870,6335.480,30.900,18.260,2.256,4.123,38347.988,0.661,0.460,0.721,4248.281,20.700,32269.857,157.237,66.990,84.858,3.819,1.917,52.105,3287.800,16.020,10693.640,,,,,51.845,28.120,11.250,0.360,-0.002,1.727,141.609,0.690,354.350,2.233,0.932,11.641,3.226,28.057,2093.356,10.200,5758.226,33.010,15.142,-0.030,-0.097,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.819,3.264,88.726,519.234,2.530,18209.393,,,,,8.188,47.884,2.651,0.850,0.000,15.382,0.353,174.446,0.000,544.081,2.751,0.000,1.431,6341.637,186.853,11.641,3.226,28.057,2093.356,10.200,5758.226,33.010,15.142,82.404,0.020,0.045,4.105,0.020,9.267,0.065,0.024,16.063,2.930,21.847,1773.196,8.640,4483.698,27.961,11.790
Ireland,2019,IRL,4933493,294503693886,21.860,0.391,441.499,2.178,172.292,0.850,2.768,1.171,313.250,-28.432,-4.664,2379.813,11.741,103.375,0.510,,,,,1.661,6.314,31.350,6354.524,30.710,18.325,0.505,0.943,38065.551,0.638,-2.303,-3.621,3835.011,18.920,31137.367,153.616,61.609,82.610,2.022,1.053,53.159,3224.896,15.910,10775.093,,,,,51.807,28.587,9.620,27.733,0.468,2.195,180.400,0.890,444.820,2.898,1.180,16.551,4.280,32.338,2389.788,11.790,6554.747,38.391,17.390,0.640,2.041,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,-0.010,88.716,506.740,2.500,17982.461,,,,,8.141,47.709,2.671,0.850,0.000,0.760,0.020,172.292,0.000,541.443,2.768,0.000,1.436,6224.798,187.796,16.551,4.280,32.338,2389.788,11.790,6554.747,38.391,17.390,86.276,0.039,0.084,6.081,0.030,16.964,0.098,0.045,15.968,3.363,25.210,2031.015,10.020,5110.022,32.628,13.557
Ireland,2020,IRL,4982602,274762344680,-7.275,-0.158,405.344,2.020,184.642,0.920,2.878,1.157,292.770,-14.321,-1.681,2018.905,10.059,134.468,0.670,,,,,2.096,5.764,31.820,6386.221,31.970,20.805,-5.971,-11.213,35439.918,0.643,-10.044,-15.429,3714.927,18.510,27733.904,138.187,57.898,79.181,-0.147,-0.078,53.081,3259.341,16.240,10653.235,,,,,50.798,30.415,9.360,5.196,0.108,2.303,186.649,0.930,462.179,2.909,1.320,10.844,3.996,36.334,2701.400,13.460,7292.109,42.102,20.819,-0.150,-0.471,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-15.408,-13.670,75.047,321.117,1.600,15061.764,,,,,5.005,43.002,2.887,0.920,0.000,8.071,0.216,184.642,0.000,579.374,2.878,0.000,1.654,6416.326,176.583,10.844,3.996,36.334,2701.400,13.460,7292.109,42.102,20.819,63.006,0.052,0.136,12.042,0.060,27.312,0.188,0.078,15.271,3.778,28.988,2318.066,11.550,5817.900,36.128,16.610
Ireland,2021,IRL,5028428,287639621097,2.210,0.045,410.525,2.064,196.881,0.990,3.135,1.159,353.710,36.406,3.662,2728.817,13.722,540.924,2.720,,,,,8.613,7.702,33.170,6596.495,31.580,19.723,1.868,3.299,35772.973,0.625,5.980,8.263,3973.409,19.980,29124.404,146.450,63.268,82.201,-3.953,-2.098,50.983,3014.859,15.160,10138.905,,,,,48.005,28.616,11.170,-19.647,-0.457,1.846,149.152,0.750,367.085,2.375,1.036,-11.731,-4.624,31.710,2306.884,11.600,6306.125,36.732,17.799,1.590,4.793,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.926,6.699,81.746,417.626,2.100,16256.682,,,,,6.650,45.883,3.109,0.990,0.000,7.705,0.222,196.881,0.000,618.327,3.135,0.000,1.745,6280.293,179.882,-11.731,-4.624,31.710,2306.884,11.600,6306.125,36.732,17.799,53.585,0.072,0.208,15.910,0.080,41.462,0.253,0.117,-15.337,-4.506,24.482,1944.942,9.780,4868.725,30.969,13.742
Ireland,2022,IRL,5110015,308390920561,25.435,0.525,506.719,2.589,197.651,1.010,3.005,1.403,332.640,-19.484,-2.673,2162.061,11.048,463.795,2.370,,,,,7.051,5.987,33.860,6626.204,33.610,20.448,3.652,6.570,36487.480,0.605,1.541,2.256,4019.558,20.540,29100.941,148.706,61.113,80.580,1.995,1.017,52.000,3236.781,16.540,10176.039,,,,,49.212,28.177,11.180,-6.434,-0.123,1.723,136.986,0.700,337.153,2.083,0.934,14.555,4.129,35.839,2557.722,13.070,7013.498,38.887,19.420,0.250,0.738,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.787,3.913,85.658,318.981,1.630,16762.842,,,,,4.850,46.416,3.168,1.010,0.000,1.884,0.059,197.651,0.000,619.915,3.005,0.000,1.717,6577.280,186.452,14.555,4.129,35.839,2557.722,13.070,7013.498,38.887,19.420,75.629,0.157,0.365,29.354,0.150,71.481,0.446,0.198,14.626,3.512,27.994,2193.731,11.210,5478.229,33.353,15.169
Ireland,2023,IRL,5196629,,34.747,0.900,671.407,3.489,159.719,0.830,2.652,1.957,284.350,-40.453,-4.469,1265.990,6.579,232.843,1.210,,,,,3.866,3.690,34.570,6652.389,31.300,19.951,-3.216,-5.996,34725.469,,-6.279,-9.337,3323.308,17.270,26819.076,139.369,55.176,78.180,-7.186,-3.737,48.263,2955.762,15.360,9287.323,,,,,49.073,27.074,8.900,34.448,0.577,2.299,180.886,0.940,442.478,3.003,1.290,12.155,3.058,38.897,2699.827,14.030,7484.979,44.824,21.820,3.270,9.459,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.321,-1.131,84.527,134.703,0.700,16265.762,,,,,2.236,47.416,2.596,0.830,0.000,-18.036,-0.571,159.719,0.000,499.636,2.652,0.000,1.456,6023.135,180.455,12.155,3.058,38.897,2699.827,14.030,7484.979,44.824,21.820,334.858,1.212,1.577,125.081,0.650,303.425,2.077,0.885,4.124,0.941,28.935,2234.141,11.610,5568.034,37.093,16.231
Ireland,2024,IRL,5255016,,26.011,0.908,836.647,4.397,190.294,1.000,3.230,2.446,273.260,-27.486,-1.808,907.819,4.771,119.885,0.630,,,,,2.035,2.654,36.020,6854.404,30.960,19.532,0.741,1.337,34593.980,,0.352,0.490,3179.819,16.710,26614.334,139.859,53.973,77.820,2.894,1.397,49.659,2890.572,15.190,9449.913,,,,,49.063,27.631,8.460,-18.450,-0.424,1.875,146.527,0.770,356.830,2.487,1.043,5.284,0.966,39.863,2711.695,14.250,7585.669,46.027,22.180,5.060,14.048,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.067,0.902,85.429,169.362,0.890,16256.601,,,,,2.875,47.534,2.512,1.000,0.000,-3.248,-0.084,190.294,0.000,478.034,3.230,0.000,1.398,5891.514,181.792,5.284,0.966,39.863,2711.695,14.250,7585.669,46.027,22.180,73.613,1.161,2.738,207.421,1.090,520.933,3.521,1.523,-2.051,-0.594,28.341,2167.453,11.390,5393.226,36.789,15.770
